title,genres,budget,revenue,vote_average,vote_count,release_date,popularity,runtime,year,roi,main_genre
Avatar,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 878, ""name"": ""Science Fiction""}]",237000000.0,2787965087.0,7.2,11800,2009-12-10,150.437577,162.0,2009.0,11.763565767932489,
Pirates of the Caribbean: At World's End,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 28, ""name"": ""Action""}]",300000000.0,961000000.0,6.9,4500,2007-05-19,139.082615,169.0,2007.0,3.203333333333333,
Spectre,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 80, ""name"": ""Crime""}]",245000000.0,880674609.0,6.3,4466,2015-10-26,107.376788,148.0,2015.0,3.5945902408163266,
The Dark Knight Rises,"[{""id"": 28, ""name"": ""Action""}, {""id"": 80, ""name"": ""Crime""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 53, ""name"": ""Thriller""}]",250000000.0,1084939099.0,7.6,9106,2012-07-16,112.31295,165.0,2012.0,4.339756396,
John Carter,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 878, ""name"": ""Science Fiction""}]",260000000.0,284139100.0,6.1,2124,2012-03-07,43.926995,132.0,2012.0,1.0928426923076924,
Spider-Man 3,"[{""id"": 14, ""name"": ""Fantasy""}, {""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}]",258000000.0,890871626.0,5.9,3576,2007-05-01,115.699814,139.0,2007.0,3.4529907984496124,
Tangled,"[{""id"": 16, ""name"": ""Animation""}, {""id"": 10751, ""name"": ""Family""}]",260000000.0,591794936.0,7.4,3330,2010-11-24,48.681969,100.0,2010.0,2.2761343692307694,
Avengers: Age of Ultron,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 878, ""name"": ""Science Fiction""}]",280000000.0,1405403694.0,7.3,6767,2015-04-22,134.279229,141.0,2015.0,5.019298907142857,
Harry Potter and the Half-Blood Prince,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 10751, ""name"": ""Family""}]",250000000.0,933959197.0,7.4,5293,2009-07-07,98.885637,153.0,2009.0,3.735836788,
Batman v Superman: Dawn of Justice,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}]",250000000.0,873260194.0,5.7,7004,2016-03-23,155.790452,151.0,2016.0,3.493040776,
Superman Returns,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 28, ""name"": ""Action""}, {""id"": 878, ""name"": ""Science Fiction""}]",270000000.0,391081192.0,5.4,1400,2006-06-28,57.925623,154.0,2006.0,1.4484488592592593,
Quantum of Solace,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 28, ""name"": ""Action""}, {""id"": 53, ""name"": ""Thriller""}, {""id"": 80, ""name"": ""Crime""}]",200000000.0,586090727.0,6.1,2965,2008-10-30,107.928811,106.0,2008.0,2.930453635,
Pirates of the Caribbean: Dead Man's Chest,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 28, ""name"": ""Action""}]",200000000.0,1065659812.0,7.0,5246,2006-06-20,145.847379,151.0,2006.0,5.32829906,
The Lone Ranger,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 37, ""name"": ""Western""}]",255000000.0,89289910.0,5.9,2311,2013-07-03,49.046956,149.0,2013.0,0.35015650980392155,
Man of Steel,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 878, ""name"": ""Science Fiction""}]",225000000.0,662845518.0,6.5,6359,2013-06-12,99.398009,143.0,2013.0,2.94598008,
The Chronicles of Narnia: Prince Caspian,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 10751, ""name"": ""Family""}, {""id"": 14, ""name"": ""Fantasy""}]",225000000.0,419651413.0,6.3,1630,2008-05-15,53.978602,150.0,2008.0,1.8651173911111112,
